Taxon	238322001677.P1	238322001964.P2	238322002045.P3	238322001915.P4	238322001588.K1	238322000220.K2	238322000983.K3	238322001364.K4	238322001495.L1	238322001218.L2	236191003825.L3	236191002984.L4	236191003814.W1	236191002875.W2	236191003850.W3	236191003556.W4	236191002863.CTL1	236191003484.CTL2
g__Deinococcus;s__Deinococcus geothermalis	0.000000	0.000000	0.000000	0.000000	0.000160	0.000180	0.000170	0.000000	0.000140	0.000170	0.000000	0.000000	0.000120	0.000000	0.000160	0.000150	0.000000	0.000000
g__Thermus;s__Thermus scotoductus	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Alicyclobacillus;s__Alicyclobacillus mali	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Bacillus_A;s__Bacillus_A anthracis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000590	0.000000	0.000620	0.000000	0.000000	0.000000
g__Bacillus_A;s__Bacillus_A bombysepticus	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000250	0.000000	0.000000	0.000000	0.000000	0.000000
g__Bacillus_A;s__Bacillus_A fungorum	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000310	0.000000	0.000000	0.000000
g__Bacillus_A;s__Bacillus_A mobilis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000360	0.000000	0.000000	0.000000
g__Bacillus_A;s__Bacillus_A paranthracis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000340	0.000000	0.000000	0.000000	0.000000	0.003701	0.002720	0.002701	0.000000	0.000000
g__Bacillus_A;s__Bacillus_A sp002571225	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000380	0.000000	0.000410	0.000000	0.000000	0.000000
g__Bacillus_A;s__Bacillus_A sp006494425	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000070	0.000000	0.000000	0.000200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Bacillus_A;s__Bacillus_A thuringiensis_N	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000340	0.000000	0.000380	0.000380	0.000000	0.000000
g__Bacillus_A;s__Bacillus_A tropicus	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000120	0.000000	0.000000	0.000000	0.000800	0.000000	0.000870	0.000870	0.000000	0.000000
g__Margalitia;s__Margalitia shackletonii	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Weizmannia;s__Weizmannia coagulans	0.000000	0.000000	0.000000	0.000000	0.001420	0.001711	0.002101	0.000000	0.002411	0.002090	0.000000	0.000000	0.000000	0.000000	0.000000	0.000430	0.000000	0.000000
g__Weizmannia;s__Weizmannia coagulans_A	0.000000	0.000000	0.000000	0.000000	0.001830	0.001801	0.001710	0.000000	0.000750	0.000700	0.000760	0.000000	0.000160	0.000000	0.000160	0.000140	0.000000	0.000000
g__Neobacillus;s__Neobacillus fumarioli	0.000000	0.000000	0.000000	0.000000	0.000100	0.000130	0.000000	0.000000	0.000090	0.000090	0.000000	0.000000	0.000000	0.000000	0.000000	0.000050	0.000000	0.000000
g__Enterococcus_E;s__Enterococcus_E cecorum	0.000000	0.000000	0.000000	0.000000	0.000950	0.001420	0.001570	0.000000	0.001390	0.001040	0.000000	0.000000	0.000000	0.000000	0.000000	0.000280	0.000000	0.000000
g__Enterococcus_E;s__Enterococcus_E stercoripullorum	0.000000	0.000000	0.000000	0.000000	0.000380	0.000550	0.000610	0.000000	0.000530	0.000410	0.000000	0.000000	0.000000	0.000000	0.000000	0.000110	0.000000	0.000000
g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000020	0.000000	0.000000
g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	0.000000	0.000000	0.000000	0.000000	0.000180	0.000220	0.000000	0.000000	0.000000	0.000750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000
g__Lactobacillus;s__Lactobacillus amylolyticus	0.000000	0.000000	0.000000	0.000000	0.000850	0.001330	0.001160	0.001780	0.000760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000240	0.000000	0.000000
g__Lactobacillus;s__Lactobacillus amylovorus	0.000000	0.000000	0.000000	0.000000	0.000000	0.000060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000
g__Lactobacillus;s__Lactobacillus delbrueckii	0.000000	0.000000	0.000000	0.000000	0.002461	0.002891	0.003391	0.003941	0.001660	0.001440	0.000000	0.000000	0.000000	0.000000	0.001040	0.000910	0.000000	0.000000
g__Lactobacillus;s__Lactobacillus delbrueckii_B	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000600	0.000000	0.000280	0.000280	0.000000	0.000000	0.000000	0.000000	0.000000	0.000140	0.000000	0.000000
g__Ligilactobacillus;s__Ligilactobacillus agilis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000090	0.000000	0.000000	0.000000	0.000110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000020	0.000000	0.000000
